"mid","title","date_from_numeric","date_from","date_to_numeric","date_to","tag","description","location","add_date","modified_date","status","note","extra","uid"
"11","1305Llull","1305","1305","1305","1305","Diagram: knowledge","&lt;p&gt;Mechanical diagrams of knowledge, as aids to reasoning (served as an inspiration to Leibnitz in the development of symbolic logic)&lt;/p&gt;","Spain","2006-12-03","2008-07-17","published",,,"1"
"12","1350Oresme","1350","1350","1350","c. 1350","Proto-bar graph","&lt;p&gt;Proto-bar graph (of a theoretical function), and development of the logical relation between tabulating values, and graphing them (pre-dating Descartes). Oresme proposed the use of a graph for plotting a variable magnitude whose value depends on another, and, implicitly, the idea of a coordinate system&lt;/p&gt;","France","2008-07-17","2008-07-17","published",,,"1"
"13","1375Cresques","1375","1375","1375","1375","Catalan Atlas","&lt;p&gt;Catalan Atlas, an exquisitely beautiful visual cosmography, perpetual calendar, and thematic representation of the known world&lt;/p&gt;","Majorca, Spain","2007-02-01","2008-07-17","published",,,"1"
"14","1450Cusa","1450","1450","1450","1450","Graphs of theoretical relation","&lt;p&gt;Graphs of distance vs. speed, presumably of the theoretical relation&lt;/p&gt;","Italy","2007-02-01","2012-08-22","published",,,"10"
"15","1453Gutenberg","1453","1453","1453","1453","Movable type","&lt;p&gt;Invention of moveable type printing press, and printing of the Mazarin bible (leads to a decline in the use of mixed text and graphics)&lt;/p&gt;","Germany","2008-07-17","2009-11-09","published",,,"7"
"16","1500Vinci","1500","1500","1500","ca. 1500","Rectangular coordinates","&lt;p&gt;Use of rectangular coordinates to analyze velocity of falling objects&lt;/p&gt;","NA","2008-07-17","2009-08-05","published",,,"7"
"17","1530Gemma-Frisius","1530","1530","1530","1530","longitude via clock","&lt;p&gt;Theoretical description of how longitude may be determined using difference of times by a clock and the associated observed change in star positions (not implemented)&lt;/p&gt;","Leuven, Belgium","2008-07-17","2008-07-17","published",,,"1"
"18","1533Gemma-Frisius","1533","1533","1533","1533","triangulation","&lt;p&gt;Description of how to determine mapping locations by triangulation, from similar triangles, and with use of angles w.r.t meridians&lt;/p&gt;","Leuven, Belgium","2008-07-17","2008-07-17","published",,,"1"
"19","1545Gemma-Frisius","1545","1545","1545","1545","camera obscura","&lt;p&gt;The first published illustration of a camera obscura, used to record an eclipse of the sun, on January 24, 1544.&lt;/p&gt;","Leuven, Belgium","2007-02-01","2009-11-09","published",,,"7"
"20","1550Rheticus","1550","1550","1550","1550","Trigonometric tables","&lt;p&gt;Trigonometric tables (published 1596 posthumously)&lt;/p&gt;","Germany","2008-07-17","2008-07-17","published",,,"1"
"21","1556Tartaglia","1556","1556","1556","1556","Land survey","&lt;p&gt;Development of a method to fix position and survey land using compass-bearing and distance. (Tartaglia is better known for discovering a method to solve cubic equations)&lt;/p&gt;","Italy","2004-10-03","2008-07-17","published",,,"1"
"22","1663Cardano","1562","1562","1562","1562","Computation of probabilities","&lt;p&gt;Liber de Ludo Alaea, a practical guide to gambling, containing the first systematic computation of probabilities; written in 1562, but not published until 1663.&lt;/p&gt;","Italy","2007-02-01","2008-07-17","published",,,"3"
"23","1569Mercator","1569","1569","1569","1569","Cylindrical projection","&lt;p&gt;Invention of cylindrical projection for portraying the globe on maps, to preserve straightness of rhumb lines&lt;/p&gt;","NA","2007-02-01","2009-08-05","published",,,"7"
"24","1570Ortelius","1570","1570","1570","1570","1st modern atlas","&lt;p&gt;The first modern atlas, Teatrum Orbis Terrarum&lt;/p&gt;","NA","2007-02-01","2009-08-05","published",,,"7"
"25","1572Brahe","1572","1572","1572","1572","Positions of stars and planets","&lt;p&gt;Improvements in instruments for accurately measuring positions of stars and planets, providing the most accurate catalog on which later discoveries (e.g., Kepler&#039;s laws) would be based&lt;/p&gt;","NA","2007-02-01","2009-08-05","published",,,"7"
"26","1581Galilei","1581","1581","1581","1581","Isosynchronous pendulum","&lt;p&gt;Discovery of isosynchronous property of the pendulum (to be used for clocks and measurement)&lt;/p&gt;","NA","2008-07-17","2009-08-05","published",,,"7"
"27","1600sUnknown","1600","1600","1600","early 1600s","Empirical data tables","&lt;p&gt;Tables of empirical data, published tables of numbers begin to appear. &quot;Die Tabellen-Statistik,&#039;&#039; as a branch of statistics devoted to the numerical description of facts&lt;/p&gt;","Germany","2008-07-17","2008-07-17","published",,,"1"
"28","1603Nautonier","1603","1603","1603","1603","1st world map with isogons","&lt;p&gt;Tables, and first world map showing lines of geomagnetism (isogons), used in work on finding longitude by means of magnetic variation. The tables give the world distribution of the variation, by latitude, along each of the meridians&lt;/p&gt;","France","2007-02-01","2008-07-17","published",,,"1"
"29","1603Scheiner","1603","1603","1603","1603","Pantograph","&lt;p&gt;The pantograph was invented for mechanically copying a figure on an enlarged or reduced scale&lt;/p&gt;","NA","2007-02-01","2009-08-04","published",,,"7"
"30","1610Galilei","1610","1610","1610","1610","Astronomical pictures","&lt;p&gt;The first astronomical pictures ever printed, from observations through a telescope, used to illustrate discoveries of craters on the moon, the 4 staelites of Jupiter and a vast number of stars never seen by unaided eyes&lt;/p&gt;","Italy","2007-04-06","2012-06-07","published",,,"10"
"31","1614Napier","1614","1614","1614","1614","Logarithmic tables","&lt;p&gt;Invention of logarithms, and the first published tables of logarithms. &lt;img src=&quot;file:///C:/DOCUME~1/default/LOCALS~1/Temp/moz-screenshot.png&quot; alt=&quot;&quot; /&gt;&lt;/p&gt;","Edinburgh, Scotland","2008-07-17","2009-10-13","published","In 1617, the year of his death, Napier invented a calculating device, called &quot;Napier&#039;s Bones,&quot; based on logarithms to facilitate multiplication and division. Napier was also the first to describe the systematic use of the decimal point in representing the result of long division.",,"7"
"32","1617Snell","1617","1617","1617","1617","Trigonometric triangulation","&lt;p&gt;First use of Frisius&#039; method of trigonometric triangulation to produce locations of major cities in Holland; foundation of geodesy&lt;/p&gt;","Leiden, Netherlands","2008-07-17","2008-07-17","published","In 1621, Willibrord Snell, in Cyclometricus, discovered the law of refraction which says that the ratio of the sines of the angles of incidence and refraction is a constant and the index of refraction varies from one transparent substance to another. This law implies that the velocity of light in a medium is inversely proportional to its refractive index. Cyclometricus was published after Snell&#039;s death by Rene&#039; Descartes.",,"1"
"33","1620Gunter","1620","1620","1628","1628","Gunter&#039;s scale","&lt;p&gt;Invention of a mechanical device, containing a logarithmic scale of equal parts and trigonomic functions which, with the aid of a pair of calipers, could be used as a slide rule. This device, called &quot;Gunter&#039;s scale,&#039;&#039; or the &quot;gunter&#039;&#039; by seamen, was soon replaced by a true slide rule, containing two parallel logarithmic scales&lt;/p&gt;","NA","2004-11-03","2009-08-04","published",,,"7"
"34","1623Schickard","1623","1623","1623","1623","1st adding machine","&lt;p&gt;The first known adding machine, a mechanical calculator called the &quot;Calculating Clock.&#039;&#039; It could add and subtract up to six-digit numbers, based on the movement of six dented wheels geared through a &quot;mutilated&quot; wheel which with every full turn allowed the wheel located at the right to rotate 1/10th of a full turn&lt;/p&gt;","NA","2004-06-05","2009-08-04","published",,,"7"
"35","1626Scheiner","1626","1626","1626","1626","Sunspots","&lt;p&gt;Visual representations used to chart the changes in sunspots over time. Also, the first known use of the idea of &quot;small multiples&#039;&#039; to show a series of images in a coherent display&lt;/p&gt;","Italy","2008-07-17","2008-07-17","published",,,"1"
"36","1632Galilei","1632","1632","1632","1632","Least deviations","&lt;p&gt;Statistical analysis of observations on location of Tycho Brahe&#039;s star of 1572, based on idea that the most probable hypothesis is the one having the smallest (least absolute value) deviations&lt;/p&gt;","NA","2008-07-17","2009-08-04","published",,,"7"
"37","1637Fermat","1637","1637","1637","1637","Coordinate system","&lt;p&gt;Coordinate system reintroduced in mathematics, analytic geometry; relationship established between graphed line and equation&lt;/p&gt;","France","2008-07-17","2008-07-17","published","About 1629, Pierre de Fermat discovered that the equation $f(x,y)=0$ represents a curve in the xy-plane.  This is the fundamental principle of analytic geometry, and was first published by Descartes in 1637. He also formulated a method for determining the maximim and minimum values which give single solutions for problems which in general have two solutions.  This procedure is &quot;almost precisely that now given in the differential calculus&#039;&#039;&quot; &#039;&#039;(Boyer 1949:156).",,"1"
"38","1644Langren","1644","1644","1644","1644","1st data graph","&lt;p&gt;First visual representation of statistical data: variations in determination of longitude between Toledo and Rome&lt;/p&gt;","Spain","2008-07-17","2009-03-30","published",,,"6"
"39","1646Kirscher","1646","1646","1646","1646","Image projection","&lt;p&gt;Invention of the first projection lantern (the magic lantern). [Images were painted on glass and projected on walls. Kirscher, a Jesuit priest, was the last recorded ordained priest openly to concern himself with optics. Henceforth, the art of projecting images was classified as an entertainment and curtailed.]&lt;/p&gt;","NA","2008-07-17","2009-08-04","published",,,"7"
"40","1654Pascal","1654","1654","1654","1654","Theory of probability","&lt;p&gt;Initial statements of the theory of probability&lt;/p&gt;","France","2008-07-17","2008-07-17","published",,,"1"
"41","1654Petty","1654","1654","1654","1654","1st econometric survey","&lt;p&gt;The first large scale attempt at a scientific, economic survey (of the Irish estates confiscated by Oliver Cromwell), perhaps the first econometric study, leading to development of political arithmetic&lt;/p&gt;","NA","2004-11-03","2009-08-05","published",,,"7"
"42","1657Huygens","1657","1657","1657","1657","1st text on probability","&lt;p&gt;First text on probability&lt;/p&gt;","Netherlands","2008-07-17","2008-07-17","published",,,"1"
"43","1663Wren","1663","1663","1663","1663","Weather clock","&lt;p&gt;Automatic recording device (the weather clock) producing a moving graph of temperature and wind direction (in polar coordinates)&lt;/p&gt;","NA","2008-07-17","2009-08-04","published",,,"7"
"44","1662Graunt","1662","1662","1662","1662","Demographic statistics","&lt;p&gt;Founding of demographic statistics: Development of the idea that vital statistics (records of christenings and burials in London) could be used to construct life tables. The average life expectancy in London was 27 years, with 65\% dying by age 16&lt;/p&gt;","England, UK","2008-07-17","2008-07-17","published","Graunt&#039;s work of 1662 is often ascribed to Sir William Petty.  The authorship questionhas been discussed by Wilcoxwho concludes that although a portion ofthe work was by Petty, the majority is due to Graunt.",,"1"
"45","1666Talon","1666","1666","1666","1666","1st complete census","&lt;p&gt;First modern complete demographic census, a record of each individual by name of the 3215 inhabitants of New France&lt;/p&gt;","Canada","2008-07-17","2008-07-17","published","E. H. Godfrey says that this is &quot;a date prior to any modern census, whether European or American&#039;&#039;, seeThe returns were fairly complete, giving data on population, sexes, families, conjugal condition, age, profession and trades, and they filled 154 pages.  The original copy is now in the Archives of Paris, and a transcript in the Archives of Ottawa.",,"1"
"46","1669Huygens","1669","1669","1669","1669","Life table","&lt;p&gt;First graph of a continuous distribution function, a graph of Gaunt&#039;s life table, and a demonstration of how to find the median remaining lifetime for a person of given age&lt;/p&gt;","Netherlands","2008-07-17","2008-07-17","published","Source: correspondence between Huygens and his brother Lodewijk.",,"1"
"47","1671Witt","1671","1671","1671","1671","Mortality table","&lt;p&gt;First attempt to determine scientifically what should be the purchase price of annuities, using mortality tables&lt;/p&gt;","Netherlands","2007-02-01","2008-07-17","published",,,"1"
"48","1686Halley","1686","1686","1686","1686","Bivariate plot","&lt;p&gt;Bivariate plot of a theoretical curve derived from observations (barometric pressure vs. altitude), graphical analysis based on empirical data&lt;/p&gt;","England, UK","2008-07-17","2008-07-17","published",,,"1"
"49","1686aHalley","1686","1686","1686","1686","1st weather map","&lt;p&gt;First known weather map, showing prevailing winds on a geographical map of the Earth&lt;/p&gt;","England, UK","2008-07-17","2008-07-17","published",,,"1"
"50","1687Petty","1687","1687","1687","1687","International statistics","&lt;p&gt;Use of statistics for international comparisons, e.g., London vs. Rome and London vs. Paris, compared in people, housing, hospitals, etc.&lt;/p&gt;","England, UK","2008-07-17","2008-07-17","published",,,"1"
"51","1693Halley","1693","1693","1693","1693","1st mortality tables","&lt;p&gt;First real mortality tables, containing the ages at death of a stable sample of individuals under stable conditions (from Breslau Bills of Mortality)&lt;/p&gt;","England, UK","2008-07-17","2008-07-17","published",,,"1"
"52","1693aHalley","1693","1693","1693","1693","rectangles for probabilities","&lt;p&gt;First use of areas of rectangles to display probabilities of independent binary events&lt;/p&gt;","England, UK","2008-07-17","2008-07-17","published",,,"1"
"53","1701Halley","1701","1701","1701","1701","1st contour map?","&lt;p&gt;Contour maps showing curves of equal value (an isogonic map, lines of equal magnetic declination for the world, possibly the first contour map of a data-based variable)&lt;/p&gt;","NA","2008-07-17","2009-11-10","published",,,"7"
"54","1710Blon","1710","1710","1710","1710","Three-color printing","&lt;p&gt;Invention of three-color printing&lt;/p&gt;","NA","2008-07-17","2009-08-05","published",,,"7"
"55","1711Arbuthnot","1711","1711","1711","1711","Statistical significance","&lt;p&gt;First test of statistical significance based on deviation between observed data and a null hypothesis (used to show that the guiding hand of a devine being could be discerned in the nearly constant ratio of male to female births in London over 1629--1710)&lt;/p&gt;","England, UK","2008-07-17","2008-07-17","published",,,"1"
"56","1712Hauksbee","1712","1712","1712","1712","Literal line graph","&lt;p&gt;Literal line graph, inspired by observation of nature (section of hyperbola, formed by capillary action of colored water between two glass plates)&lt;/p&gt;","England, UK","2008-07-17","2008-07-17","published",,,"1"
"57","1724Cruquius","1724","1724","1724","1724","Abstract line graph","&lt;p&gt;Abstract line graph (of barometric observations), not analyzed&lt;/p&gt;","Netherlands","2008-07-17","2008-07-17","published",,,"1"
"58","1727Schulze","1727","1727","1727","1727","Photography","&lt;p&gt;Experiments paving the way to the development of photography: Images obtained by action of light on a mixture of chalk, nitric acid, and silver salts&lt;/p&gt;","Germany","2008-07-17","2008-07-17","published",,,"1"
"59","1733deMoivre","1733","1733","1733","1733","Normal distribution","&lt;p&gt;The normal distribution, derived as the limit of the binomial distribution&lt;/p&gt;","NA","2007-02-01","2009-08-05","published","The normal distribution was first introduced by de Moivre in an article  in 1733 (reprinted in the second edition of his The Doctrine of Chances, 1738). Laplacelater extended this in his book Analytical Theory of Probabilities.A further generalization, to the central limit theorem occurred later.",,"7"
"60","1736Newton","1736","1736","1755","1755","Polar coordinates","&lt;p&gt;Development of the use of polar coordinates for the representation of functions. Newton&#039;s Method of Fluxions was written about 1671, but not published until 1736. Jacob Bernoulli published a derivation of the idea in 1691 attributes the development of polar coordinates to Fontana, with no date.&lt;/p&gt;","England, UK","2006-10-05","2012-08-16","published","1671 is probably too early; 1736--1755 would probably be more appropriate.  There are earlier references to Hipparchus (190-120BC) regarding the use of polar coordinates in establishing stellar positions, and Abu Arrayhan Muhammad ibn Ahmad al-Biruni (1021) regarding the use of three rectangular coordinates to establish a point in space.",,"10"
"61","1741Sussmilch","1741","1741","1741","1741","Population statistics","&lt;p&gt;Beginnings of the study of population statistics (demography)&lt;/p&gt;","NA","2008-07-17","2009-08-05","published",,,"7"
"62","1748Achenwall","1748","1748","1748","1748","Statistics","&lt;p&gt;First use of the term &quot;statistik.&#039;&#039; The word &quot;statistics&#039;&#039; was first used by Zimmerman in 1787. (For the earlier use of &quot;statist&#039;&#039;, &quot;statista&#039;&#039; and other terms, see cite{John:1883}.)&lt;/p&gt;","Germany","2007-02-01","2010-02-24","published",,,"7"
"63","1750Mayer","1750","1750","1755","1755","Empirical estimation","&lt;p&gt;Beginnings of the estimation of $m$ unknown quantities from $n$ emipirical equations (where $n &gt; m$), taking account of the possibility of errors in the observations (later supplanted by the method of least squares)&lt;/p&gt;","Germany","2008-05-02","2008-07-17","published",,,"1"
"64","1752Euler","1752","1752","1752","1752","Notation for 3D space","&lt;p&gt;Introduction of a notation which gives a name and address to every possible point in 3D space, $(x,y,z)$.&lt;/p&gt;","Switzerland","2007-02-01","2008-07-17","published","To find the true place of the body at each instant, one only needs to locate it at the same time in respect to the three fixed planes, each perpendicular to the others[p. 89].",,"3"
"65","1752Buache","1752","1752","1752","1752","Contour map","&lt;p&gt;Contour map&lt;/p&gt;","France","2007-02-01","2008-07-17","published",,,"1"
"66","1753Barbeu-Dubourg","1753","1753","1753","1753","Annotated timeline","&lt;p&gt;&quot;Carte chronologique&#039;&#039;: An annotated timeline of history (from Creation) on a 54-foot scroll, including names and descriptive events, grouped thematically, with symbols denoting character (martyr, tyrant, heretic, noble, upright, etc.) and profession (painter, theologian, musician, monk, etc.)&lt;/p&gt;","France","2007-02-01","2008-07-17","published",,,"1"
"67","1758Mayer","1758","1758","1772","1772","Diagrams of color systems","&lt;p&gt;Diagrams developed to represent color systems. In 1758, Mayer developed a system of constructing and naming many of the possible colours. Lambert extended this with a 3D pyramid indicating &quot;depth&#039;&#039; (saturation).&lt;/p&gt;","Germany","2007-02-01","2008-07-17","published","Lambert wanted to extend the coverage of the system to include the concept of depth.  He believed that the colour pyramid would be useful to textile merchants to decide if they stocked all the colours, and to dyers and printers as a source of inspiration.",,"3"
"68","1760Lambert","1760","1760","1760","1760","Empirical interpolation","&lt;p&gt;Curve-fitting and interpolation from empirical data points&lt;/p&gt;","Germany","2008-07-17","2008-07-17","published",,,"1"
"69","1763Bayes","1763","1763","1763","1763","Beta density graph","&lt;p&gt;Graph of the beta density&lt;/p&gt;","England, UK","2008-07-17","2008-07-17","published",,,"1"
"70","1765Lambert","1765","1765","1765","1765","Measurement error","&lt;p&gt;Theory of measurement error as deviations from regular graphed line. (Lambert made the observation that &quot;a diagram does incomparably better service here than a table.&#039;&#039;cite[p. 204]{Tilling:1975}&lt;/p&gt;","Germany","2008-07-17","2008-07-17","published",,,"1"
"71","1765Priestley","1765","1765","1765","1765","Historical timeline","&lt;p&gt;Historical timeline (life spans of 2,000 famous people, 1200 B.C. to 1750 A.D.), quantitative comparison by means of bars&lt;/p&gt;","England, UK","2008-07-17","2008-07-17","published",,,"1"
"72","1767Lambert","1767","1767","1796","1796","Graphical analysis","&lt;p&gt;Repeated systematic application of graphical analysis (line graphs applied to empirical measurements)&lt;/p&gt;","Germany","2008-07-17","2008-07-17","published","Lambert was one of the first to use graphs to analyze experimental data, and to use graphical calculation, e.g., computing the slopes of curves to estimate rates of change.",,"1"
"73","1776Monge","1776","1776","1776","1776","Descriptive geometry","&lt;p&gt;Development of descriptive geometry, that leads to engineering drawing&lt;/p&gt;","Beaune, France","2007-02-01","2008-07-17","published","Monge&#039;s work, Descriptive geometry, was the first consciously formulated exposition of the science of orthographic projection and descriptive geometry. Sylvestre Lacriux discovered the principles of projection independently about the same time as Monge. Jean Pierre Hackette added new material to Monge&#039;s descriptive geometry and published a book on this subject in 1822.",,"3"
"74","1778Charpentier","1778","1778","1778","1778","Geological map","&lt;p&gt;Geological map (distribution of soils, minerals)&lt;/p&gt;","Germany","2008-07-17","2008-07-17","published",,,"1"
"75","1779Lambert","1779","1779","1779","1779","1st semi-graphic display","&lt;p&gt;Graphical analysis of periodic variation (in soil temperature), and the first semi-graphic display combining tabular and graphical formats&lt;/p&gt;","Germany","2008-07-17","2009-04-06","published",,,"6"
"76","1782Crome","1782","1782","1782","1782","1st thematic map?","&lt;p&gt;Statistical map of production in Europe, possibly the first economic and thematic map (shows geographic distribution of 56 commodities produced in Europe)&lt;/p&gt;","Germany","2008-07-17","2008-07-17","published",,,"1"
"77","1782Carla-Boniface","1782","1782","1782","1782","First topographical map","&lt;p&gt;First topographical map&lt;/p&gt;","NA","2008-07-17","2009-08-05","published",,,"7"
"78","1782Fourcroy","1782","1782","1782","1782","Geometric proportional figures","&lt;p&gt;Use of geometric, proportional figures (squares) to compare demographic quantities by superposition, an early &quot;tableau graphique&#039;&#039;&lt;/p&gt;","NA","2008-07-17","2009-07-08","published",,,"7"
"79","1785Crome","1785","1785","1785","1785","Superimposed squares","&lt;p&gt;Superimposed squares to compare areas (of European states)&lt;/p&gt;","Germany","2008-07-17","2008-07-17","published",,,"1"
"80","1786Playfair","1786","1786","1786","1786","Bar chart, line graph invented","&lt;p&gt;Bar chart, line graphs of economic data&lt;/p&gt;","NA","2008-07-17","2009-07-08","published",,,"7"
"81","1787Chladni","1787","1787","1787","1787","Vibration pattern","&lt;p&gt;Visualization of vibration patterns (by spreading a uniform layer of sand on a disk, and observing displacement when vibration is applied)&lt;/p&gt;","NA","2007-02-01","2009-08-05","published","Chladni is known as the father of acoustics; he also invented the euphonium.",,"7"
"82","1794Buxton","1794","1794","1794","1794","Graph paper","&lt;p&gt;Patenting and sale of printed graph paper, printed with a rectangular coordinate grid, attests to the growing use of Cartesian coordinates&lt;/p&gt;","England, UK","2008-07-17","2008-07-17","published",,,"1"
"83","1795Pouchet","1795","1795","1795","1795","Proto-nomogram","&lt;p&gt;Multi-number graphical calculation (proto-nomogram: contours applied to multiplication table, later rectified by Lalanne cite{Lalanne:1846})&lt;/p&gt;","NA","2008-07-17","2009-08-05","published",,,"7"
"84","1796Watt","1796","1796","1796","1796","Automatic data recording","&lt;p&gt;Automatic recording of bivariate data (pressure vs. volume in steam engine) &quot;Watt Indicator,&#039;&#039; (invention kept secret until 1822)&lt;/p&gt;","NA","2008-07-17","2009-08-05","published",,,"7"
"85","1798Senefelder","1798","1798","1798","1798","Lithography invented","&lt;p&gt;Invention of lithographic technique for printing of maps and diagrams (&quot;At the time the effect of lithography ... was as great as has been the introduction [of the Xerox machine]&#039;&#039; cite[p. 57]{&lt;a href=&quot;?page=references&amp;amp;cite=Robinson:1982&quot;&gt;Robinson:1982&lt;/a&gt;}) (published in several translations, 1818--19)&lt;/p&gt;","Germany","2007-02-01","2008-11-06","published",,,"1"
"86","1798Seaman","1798","1798","1798","1798","1st disease maps","&lt;p&gt;First maps of the incidence of disease (yellow fever), using dots and circles to show individual occurrences in waterfront areas of New York&lt;/p&gt;","NA","2007-02-01","2009-08-05","published",,,"7"
"87","1800Howard","1800","1800","1800","1800","Coordinate paper","&lt;p&gt;Use of coordinate paper in published research (graph of barometric variations)&lt;/p&gt;","NA","2008-07-17","2009-07-08","published",,,"7"
"88","1800Keith","1800","1800","1800","1800","Automatic time-series graph","&lt;p&gt;Idea for continuous log of automatically recorded time series graphs (of temperature and barometric pressure), also recording the maximum and minimum&lt;/p&gt;","England, UK","2008-07-17","2008-07-17","published",,,"1"
"89","1801Playfair","1801","1801","1801","1801","Pie chart","&lt;p&gt;Invention of the pie chart, and circle graph, used to show part-whole relations&lt;/p&gt;","England, UK","2008-07-17","2008-07-17","published",,,"1"
"90","1801Smith","1801","1801","1801","1801","Large-scale geological map","&lt;p&gt;The first large-scale geological map of England and Wales, setting the pattern for geological cartography, and founding stratigraphic geology. Recently called (hyperbolically) &quot;the map that changed the world&#039;&#039; cite{Winchester:2001}. (Smith&#039;s map was first drawn in 1801, but the final version was not published until 1815.)&lt;/p&gt;","England, UK","2007-02-01","2008-07-17","published","The first known geological map was produced by Christopher Packe in 1743, and depicts South England. Smith&#039;s map is impressivefor its size (about 6 x 9 feet--- printed as 15 separate copperplate engravings for a 5x3 grid), scope (all of England, Wales, and part of Scotland), beauty (elaborately hand-colored)and detail.  More importantly, he was the first to discover that  the strata of England were in a definite order and the first to show that their fossil contents were in the same order.",,"1"
"91","1809Gauss","1809","1809","1809","1809","Least squares method","&lt;p&gt;Methods of determining an orbit from at least three observations; presentation of the least squares method&lt;/p&gt;","Germany","2007-02-01","2008-07-17","published",,,"3"
"92","1811Humboldt","1811","1811","1811","1811","Subdivided bar graph","&lt;p&gt;Charts using subdivided bar graphs, and superimposed squares, showing the relative size of Mexican territories and populations in the colonies&lt;/p&gt;","Germany","2008-07-17","2008-07-17","published",,,"1"
"93","1817Humboldt","1817","1817","1817","1817","1st graph of isotherms","&lt;p&gt;First graph of isotherms, showing mean temperature around the world by latitude and longitude. Recognizing that temperature depends more on latitude and altitude, a subscripted graph shows the direct relation of temperature on these two variables&lt;/p&gt;","Germany","2008-07-17","2008-07-17","published",,,"1"
"94","1819Dupin","1819","1819","1819","1819","Choropleth map","&lt;p&gt;Choropleth map with shadings from black to white (distribution and intensity of illiteracy in France), the first (unclassed) choropleth map, and perhaps the first modern statistical map. (This map dates from 1826 cite[Plate 1, vol. 2]{Dupin:1827} according to Robinson cite[p. 232]{Robinson:1982}, rather than 1819 according to Funkhouser cite{Funkhouser:1937})&lt;/p&gt;","France","2008-07-17","2008-07-17","published","This entry is now deprecated.",,"1"
"95","1820sFaraday","1820","1820","1820","1820","Natural phenomena","&lt;p&gt;An increasing number of scientific publications begin to contain graphs and diagrams which describe, but do not analyze, natural phenomena (magnetic variation, weather, tides, etc.)&lt;/p&gt;","NA","2008-07-17","2009-08-11","published",,,"7"
