"aid","prefix","givennames","lname","suffix","lived","birthdate","birthplace","birthlat","birthlong","deathdate","deathplace","deathlat","deathlong","note"
"20",,"Adriano","Balbi",,"1782-1884","1782-04-25","Venice, Italy","45.4408474","12.3155151","1884-03-14","Padua, Italy","45.4064349","11.8767611",
"21",,"Vincent P.","Barabba",,"1934-","1934-09-26","Chicago, IL, USA","41.8781136","-87.6297982",,,,,
"22",,"Jacques","Barbeu-Dubourg",,"1709-1779","1709-02-12","Mayenne, France","48.3061239","-0.620935","1779-12-14","Paris, France","48.856614","2.3522219",
"23",,"George","Barnard",,"1915-2002","1915-09-23"," Walthamstow, London, England","51.590541","-0.021407","2002-08-09","Ontario, Canada","51.253775","-85.3232139",
"24",,"Thomas","Bayes",,"1702-1761","1702","London, England","51.5081289","-0.128005","1761-04-17","Tunbridge Wells, Kent, England","51.132377","0.263695",
"25",,"Henry C.","Beck",,"1902-1974","1902-06-04","London, England","51.5073346","-0.1276831","1974-09-18","Southampton, England","50.9097004","-1.4043509",
"26",,"Richard A.","Becker",,"1887-1955","1887-12-03","Hamburg, Germany","53.5510846","9.9936818","1955-03-16","Bad Schwalbach, Germany","50.1416283","8.0674608",
"28",,"Hans","Berger",,"1873-1941","1873-05-21","Neuses, Germany","50.2127628","11.3046047","1941-06-01","Jena, Germany","50.927054","11.5892372",
"29",,"Heinrich","Berghaus",,"1797-1884","1797-05-03","Kleve, Germany","51.786726","6.12954","1884-02-17","Stettin, Poland","53.4285438","14.5528116",
"30",,"Jacob","Bernoulli",,"1654-1705","1654-12-27","Basel, Switzerland","47.557421","7.5925727","1715-08-16","Basel, Switzerland","47.557421","7.5925727",
"31",,"Alphonse","Bertillon",,"1853-1914","1853-04-24","Paris, France","48.856614","2.3522219","1914-02-14","Paris, France","48.856614","2.3522219",
"32",,"Jacques","Bertillon",,"1851-1922","1851-11-11","Paris, France","48.856614","2.3522219","1922-07-07","Valmondois, France","49.097092","2.190744",
"34",,"Jacques","Bertin",,"1918-2010","1918-07-27","Maisons-Laffitte, France","48.947545","2.1423899","2010-05-03","Paris, France","48.856614","2.3522219",
"35",,"Albert D.","Biderman",,"1923-2003","1923-07-10","NJ, USA","40.0583238","-74.4056612","2003-06-16","McLean, Virginia, USA","38.9338676","-77.1772604",
"36",,"Charles","Booth",,"1840-1916","1840-03-30","Liverpool, England","53.4083714","-2.9915726","1916-11-23","Thringstone, Leicestershire, England","52.755183","-1.367164",
"37",,"Rogerius Josephus","Boscovich",,"1711-1787","1711-05-18","Ragusa, Dubrovnik, Croatia","42.5598987","18.2629376","1787-02-13","Milan, Italy","45.463681","9.1881714",
"38",,"Henry Pickering","Bowditch",,"1840-1911","1840-04-04","Boston, USA","42.3584308","-71.0597732","1911-03-13","Boston, USA","42.3584308","-71.0597732",
"39",,"Tycho","Brahe",,"1546-1601","1546-12-14","Knutstorp Castle, Denmark ","56.884899","10.13388","1601-10-24","Prague, Czech Republic","50.0755381","14.4378005","Knutstorp  Castle is now Kagerod, Sweden"
"40",,"Willard Cope","Brinton",,"1880-1957","1880-12-22",,,,"1957",,,,
"41",,"Phillippe","Buache",,"1700-1733","1700-02-07","Paris, France","48.856614","2.3522219","1773-01-27","Paris, France","48.856614","2.3522219",
"42",,"Andreas","Buja",,"1951-","1951-05-15","Zurich, Switzerland","47.3690","8.5380",,,,,
"46",,"Vannevar","Bush",,"1890-1974","1890-03-11","Everett, USA","47.9789848","-122.2020794","1974-06-28","Belmont, USA","37.5202145","-122.2758008",
"47","Dr.",,"Buxton",,"1700s",,,,,,,,,
"48",,"Stuart K.","Card",,,,,,,,,,,
"49",,"Gerolamo","Cardano",,"1501-1576","1501-09-24","Pavia, Italy","45.1858877","9.1565627","1576-09-21","Rome, Italy","41.8905198","12.4942486",
"50",,"Marcellin du","Carla-Boniface",,"1700s",,"France","46.227638","2.213749",,,,,
"51",,"John M.","Chambers",,,,,,,,,,,
"52",,"Johann Friedrich von","Charpentier",,"1738-1805","1738-06-24","Dresden, Germany","51.0504088","13.7372621","1805-07-27","Freiberg, Germany","50.9128283","13.341727",
"53",,"Herman","Chernoff",,"1923-","1923-07-01","New York, USA","40.7143528","-74.0059731",,,,,
"55",,"&Eacute;mile","Cheysson",,"1836-1910","1836-05-18","Nimes, France","43.836699","4.360054","1910-02-10","Leysin, Switzerland","46.345376","7.012974",
"58",,"Ernest Florens Friedrich","Chladni",,"1756-1827","1756-11-30","Wittenberg, Germany","51.8739831","12.6279659","1827-04-03","WrocÅ‚aw, Poland","51.1078852","17.0385376",
"59",,"William S.","Cleveland",,,,"Sussex, New Jersey, USA","41.2098177","-74.6076614",,,,,
"61",,"Di","Cook",,"1960-","1960-10-31","Penrith, NSW, Australia","-33.7521785","150.6910467",,,,,
"62",,"Martin F. P.","Costelloe",,,,,,,,,,,
"63",,"P.","Craig",,,,,,,,,,,
"64",,"Abraham","Cresques",,"1325-1387",,"Palma, Majorca, Spain","39.5695059","2.649966",,"Ciutat de Mallorca, Spain","39.5695059","2.649966",
"65",,"August Friedrich Wilhelm","Crome",,"1753-1833","1753-06-08","Sengwarden, Germany","53.592279","8.046574","1833-06-11","R&ouml;delheim, Germany","50.123441","8.603798",
"67",,"F. E.","Croxton",,,,,,,,,,,
"68",,"Nicolaus Samuel","Cruquius",,"1678-1754","1678-12-02","Vlieland, Netherlands","53.2501844","4.9514271","1754-02-05","Spaarndam, Netherlands","52.414421","4.688208","*Changed his name to Nicolaas Kruik"
"69",,"E. P.","Cubberly",,"1900s",,,,,,,,,
"70",,"Nicolas of","Cusa",,"1401-1464","1401-08-11","Kus, Trier, Germany","49.7468826","6.6347507","1464-08-11","Todi, Papal States, Italy","42.7819352","12.4065686","*Birth year is approximate"
"71",,"Louis Jacques Mand&eacute;","Daguerre",,"1787-1851","1787-11-18","Cormeilles-en-Parisis, France","48.973526","2.201292","1851-07-10","Bry-sur-Marne, France","48.834913","2.5236489",
"72",,"Ren&eacute;","Descartes",,"1596-1650","1596-03-31","La Haye-Descartes, France","46.974369","0.699399","1650-02-11","Stockholm, Sweden","59.32893","18.06491",
"73",,"Baron Pierre Charles","Dupin",,"1784-1873","1784-10-06","Varzy, Nievre, France","47.358735","3.388036","1873-01-18","Paris, France","48.856614","2.3522219",
"75",,"Jason","Dykes",,,,,,,,,,,
"76",,"Walter C.","Eells",,,,,,,,,,,
"77",,"Andrew S. C.","Ehrenberg",,"1926-2010","1926-05-01","Bochum, Germany","51.4818445","7.2162363","2010-08-25","London, England","51.5073346","-0.1276831",
"78",,,"Employees of New York City",,,,"New York, USA","40.7143528","-74.0059731",,,,,
"79",,,"Eratosthenes",,"276BC-194BC",,"Cyrene, Libya","32.8178637","21.8641716",,"Alexandria, Egypt","31.2000924","29.9187387","Cyrene is now Shahhat"
"80",,"Leonhard","Euler",,"1707-1783","1707-04-15","Basel, Switzerland","47.557421","7.5925727","1783-09-18","Saint Petersburg, Russia","60.0762383","30.1213829",
"81",,"Michael","Faraday",,"1791-1867","1791-09-22","Newington Butts, Surrey, England","52.3555177","-1.1743197","1867-08-25","Hampton Court, Middlesex, England","51.4271913","-0.3462201","Newington Butts now part of London"
"83",,"Pierre de","Fermat",,"1601-1665","1601-08-17","Beaumont-de-Lomagne, France","43.88331","0.988511","1665-01-12","Castres, France","43.606214","2.241295",
"85",,"Stephen E.","Fienberg",,"1942-","1942-11-27","Toronto, ON, Canada","43.653226","-79.3831843",,,,,
"86",,"Howard Taylor","Fisher",,"1903-1979","1903-10-30","Chicago, Illinois, USA","41.85","-87.65","1979-01-23","Boston, MA, USA","42.3583","-71.06",
"87",,"Ronald Aylmer","Fisher",,"1890-1962","1890-02-17","London, England","51.5073346","-0.1276831","1962-07-29","Adelaide, Australia","-34.9287264","138.5999453",
"88",,"M. A.","Fishkeller",,"1915-2000","1915",,,,"2000",,,,
"89",,"M.","Fontaine",,"1900s",,,,,,,,,
"90",,"Gregorio","Fontana",,"1735-1803","1735-12-07","Villa di Nogaredo, Italy","45.9149097","11.0228409","1803-08-24","Milan, Italy","45.4654542","9.186516",
"91",,"Charles de","Fourcroy",,"1766-c.1810","1766","France","46.227638","2.213749",,,,,"Death year some time after 1810"
"92",,"Jean Baptiste Joseph","Fourier",,"1768-1830","1768-03-21","Auxerre, Bourgogne, France","47.798202","3.573781","1830-05-16","Paris, France","48.856614","2.3522219",
"93",,"E. B.","Fowlkes",,,,,,,,,,,
"94",,"Armand Joseph","Frere de Montizon",,"1788-","1788",,,,,,,,
"95",,"Herman P.","Friedman",,"c. 1930-2010",,"New York, USA","40.7143528","-74.0059731","2010-10-17","New York, USA","40.7143528","-74.0059731","Birth year approximate
"
"96",,"Jerome H.","Friedman",,,,,,,,,,,
"97",,"Michael","Friendly",,"1945-","1945-05-07","New York City, NY, USA","40.78291","-73.95899",,,,,
"99",,"Howard Gray","Funkhouser",,"1898-1984","1898-04-14","Winchester,. Virginia, USA","39.1856597","-78.1633341","1984-12-00","Exeter, New Hampshire, England","42.9814292","-70.9477546",
"100",,"George W.","Furnas",,,,,,,,,,,
"101",,"Kuno Ruben","Gabriel",,"1929-2003","1929","Germany","51.165691","10.451526","2003-05-25","Rochester, NY, USA","43.16103","-77.6109219",
"102",,"Galileo","Galilei",,"1564-1642","1564-02-15","Pisa, Italy","43.7228386","10.4016888","1642-01-08","Arcetri, Italy","43.7549007","11.2517889",
"105",,"Francis","Galton",,"1822-1911","1822-02-16","Sparkbrook, Birmingham, England","52.4588303","-1.8710543","1911-01-17","Haslemere, Surrey, England","51.090856","-0.713373",
"110",,"Henry Laurence","Gantt",,"1861-1919","1861","Calvert County, Maryland, USA","38.4949503","-76.5025742","1919-11-23","Pine Island, NY, USA","41.297778","-74.459722",
"111",,"Johann Carl Friedrich","Gauss",,"1777-1855","1777-04-30","Braunschweig, Germany","52.2688736","10.5267696","1855-02-23","G&ouml;ttingen, Germany","51.538352","9.9296899",
"112",,"Patrick","Geddes",,"1854-1932","1854-10-02","Ballatar, Scotland","57.05003","-3.036649","1932-04-17","College des Ecossais, Montpellier, France","43.610769","3.876716",
"113",,"Regnier","Gemma-Frisius",,"1508-1555","1508-12-08","Dokkum, Friesland, Netherlands","53.3255453","6.0001461","1555-05-25","Louvain, Brabant, Belgium","50.877571","4.704328",
"116",,"Josiah Willard","Gibbs",,"1839-1903","1839-02-11","New Haven, Connecticut, USA","41.3081527","-72.9281577","1903-04-28","New Haven, Connecticut, USA","41.3081527","-72.9281577",
"117",,"R. M.","Goldwyn",,"1936-1994","1936-05-05",,,,"1994-01-15",,,,
"118",,"Benjamin","Gompertz",,"1779-1865","1779-03-05","London, England","51.5073346","-0.1276831","1865-07-14","London, England","41.3081527","-72.9281577",
"119",,"John","Graunt",,"1620-1674","1620-04-24","London, England","51.5073346","-0.1276831","1674-04-18","London, England","51.5073346","-0.1276831",
"120",,"Andr&eacute; Michel","Guerry",,"1802-1866","1802-12-24","Tours, France","47.394144","0.68484","1866-04-09","Paris, France","48.856614","2.3522219",
"124",,"Edmund","Gunter",,"1581-1626","1581","Hertfordshire, England","51.8097823","-0.2376744","1626-12-10","London, England","51.5073346","-0.1276831",
"125",,"Johann","Gutenberg",,"1398-1468","1398","Mainz, Germany","49.9928617","8.2472526","1468-02-03","Mainz, Germany","49.9928617","8.2472526",
"126",,"Edmond","Halley",,"1656-1742","1656-11-08","Haggerston, Shoreditch, England","51.524845","-0.0811906","1742-01-14","Greenwich, England","51.483061","-0.004151",
"131",,"Harry","Harmon",,"1913-1976","1913-06-05","Poland","51.919438","19.145136","1976-06-08","Princeton, NJ, USA","40.3572976","-74.6672226",
"132",,"Henry Drury","Harness",,"1804-1883","1804","Ireland","53.41291","-8.24389","1883-02-10","Headington, Oxfordshire, England","51.761491","-1.22446",
"133",,"Moses","Harris",,"1730-1785","1730-04-15","England","52.3555177","-1.1743197","1785",,,,
"134",,"John","Hartigan",,"1937-","1937-07-02","Sydney, Australia","-33.873651","151.2068896",,,,,
"136",,"A. C.","Haskell",,,,,,,,,,,
"137",,"J.","Haslett",,,,,,,,,,,
"138",,"Francis","Hauksbee",,"1666-1713","1666","Colchester, England","51.895927","0.891874","1713-06-00","London, England","51.5073346","-0.1276831",
"139",,"Allen","Hazen",,"1869-1930","1869",,,,"1930",,,,
"140",,"Lawrence Joseph","Henderson",,"1878-1942","1878-06-03","Lynn, MA, USA","42.466763","-70.9494938","1942-02-10","Cambridge, MA, USA","42.3736158","-71.1097335",
"141",,"John Frederick W.","Herschel",,"1792-1871","1792-03-07","Slough, Buckinghamshire, England","51.5105384","-0.5950406","1871-05-11","Hawkhurst, Kent, England","51.046735","0.50947",
"142",,"Ejnar","Hertzsprung",,"1873-1967","1873-10-08","Copenhagen, Denmark","55.6760968","12.5683371","1967-10-21","Roskilde, Denmark","55.64191","12.087845",
"143",,,"Hipparchus",,"190-120BC",,"Nicaea, Ancient Greece","37.9701123","23.6423642",,"Athens, Ancient Greece","37.9756899","23.726007","Nicaea now in Iznik, Turkey"
"144",,"Herman","Hollerith",,"1860-1929","1860-02-29","Buffalo, NY, USA","42.8864468","-78.8783689","1929-11-17","Washington, D.C., USA","38.8951118","-77.0363658",
"145",,"Grace","Hopper",,"1906-1992","1906-12-09","New York, USA","40.7143528","-74.0059731","1992-01-01","Arlington, Virginia, USA","38.8799697","-77.1067698",
"146",,"Luke","Howard",,"1772-1864","1772-11-28","London, England","51.5073346","-0.1276831","1864-03-21","Tottenham, England","51.603662","-0.07573",
"147",,"R. von","Huhn",,,,,,,,,,,
"148",,"Alexander von","Humboldt",,"1769-1859","1769-09-14","Berlin, Germany","52.519171","13.4060912","1859-05-06","Berlin, Germany","52.5234051","13.4113999",
"150",,"Catherine","Hurley",,,,,,,,,,,
"152",,"Christiaan","Huygens",,"1629-1695","1629-04-14","The Hague, Netherlands","52.0704978","4.3006999","1695-07-08","The Hague, Netherlands","52.0704978","4.3006999",
"154",,"Alfred","Inselberg",,"1936-","1936-10-22","Athens Greece",,,,,,,"*lived mostly in Israel"
"155",,,"International Statistical Institute",,"1885-","1885",,,,,,,,"Founded in 1885"
"156",,"William Stanley","Jevons",,"1835-1882","1835-09-01","Liverpool, England","53.4083714","-2.9915726","1882-08-13","Hastings, England","50.854259","0.573453",
"158",,"Alexander Keith","Johnston",,"1804-1871","1804-12-28","Kirkhill, Scotland","57.475843","-4.413941","1871-07-09","Ben Rhydding, Yorkshire, England","53.9257271","-1.7974334",
"159",,"Karl G.","Karsten",,,,,,,,,,,
"160",,"Niels","Keiding",,"1944-","1944-05-14","Copenhagen, Denmark","55.6760968","12.5683371",,,,,
"161",,"Alexander","Keith",,,,,,,,,,,
"162",,"Athanasius","Kirscher",,"1602-1680","1602-05-02","Geisa, Imperial Abbey of Fulda, Germany","50.5558095","9.6808449","1680-11-28","Rome","41.9015141","12.4607737",
"163",,"Beat","Kleiner",,,,,,,,,,,
"165",,"Joseph B.","Kruskal",,"1929-2010","1928-01-29","New York, USA","40.7143528","-74.0059731","2010-09-09","Maplewood, NJ, USA","40.7299793","-74.271992",
"166",,"L&eacute;on","Lalanne",,"1811-1892","1811-07-03","Paris, France","48.856614","2.3522219","1892-03-13","Paris, France","48.856614","2.3522219",
"169",,"Charles","Lallemand",,"1857-1938","1857-03-07","Saint-Aubin-sur-Aire, France","48.706098","5.442813","1839-02-01","Bussy, Haute-Marne, France","48.45911","5.159301",
"170",,"Johann Heinrich","Lambert",,"1728-1777","1728-08-26","Mulhausen, Alsace, France","47.750839","7.335888","1777-09-25","Berlin, Germany","52.519171","13.4060912",
"175",,"Michael F. van","Langren",,"1598-1675","1598-04-27","Amsterdam, Netherlands","52.3702157","4.8951679","1675-05-00","Brussells, Belgium","50.8503396","4.3517103",
"176",,"Jacob Cristoph","Le Blon",,"1667-1741","1667-05-23","Frankfurt am Main, Germany","50.1109221","8.6821267","1741-05-15","Paris, France","48.856614","2.3522219",
"177",,"Guillaume","Le Nautonier",,"1557-1620","1557","Venes, Italy","43.727582","2.192043","1620-12-16","Castelfranc, France","44.50108","1.22279","Birth year is approximate"
"178",,"D. H.","Leavens",,,,,,,,,,,
"179",,"&Eacute;mile","Levasseur",,"1828-1911","1828-12-08","Paris, France","48.856614","2.3522219","1911-07-10","Paris, France","48.856614","2.3522219",
"181",,"Wilhelm","Lexis",,"1837-1914","1837-07-17","Eschweilier, Germany","50.8107322","6.263075","1914-10-25","Gottingen, Germany","51.538352","9.9296899",
"182",,"Ramon","Llull",,"1235-1316","1235","Majorca, Spain","39.6952629","3.0175712","1316","Tunis, Tunisia","36.81881","10.16596",
"184",,"Max Otto","Lorenz",,"1876-1959","1876-09-19","Burlington, Iowa, USA","40.8080556","-91.1158333","1959-07-01","Sunnyvale, California, USA","37.36883","-122.0363496",
"185",,"Toussaint","Loua",,"1824-1907","1824",,,,"1907",,,,
"186",,"Auguste","Lumi&egrave;re",,"1862-1954","1862-10-19","Besancon, France","47.237829","6.0240539","1954-04-10","Lyon, France","45.764043","4.835659",
"187",,"Louis","Lumi&egrave;re",,"1864-1948","1864-10-05","Besancon, France","47.237829","6.0240539","1948-06-06","Bandol, France","43.136418","5.754186",
"188",,"Tsai","Lun",,"50AD-121AD","0050","Guiyang, China","26.647449","106.630143","0121","China","35.86166","104.195397",
"189",,"Etienne-Jules","Marey",,"1830-1904","1830-03-05","Beaune, France","47.02603","4.840004","1904-05-15","Paris, France","48.856614","2.3522219",
"192",,"F. C.","Martin",,,,,,,,,,,
"193",,"Edward Walter","Maunder",,"1851-1928","1851-04-12","London, England","51.5073346","-0.1276831","1928-03-21","London, England","51.5073346","-0.1276831",
"194",,"James Clerk","Maxwell",,"1831-1879","1831-06-13","Edinburgh, Scotland","55.953252","-3.188267","1879-11-05","Cambridge, England","52.205337","0.121817",
"195",,"Johanes Tobias","Mayer",,"1723-1762","1723-02-17","Marbach, Germany","48.939615","9.2645971","1762-02-20","Gottingen, Germany","51.538352","9.9296899",
"197",,"Georg von","Mayr",,"1841-1925","1841-02-12","Wuerzburg, Germany","49.7915953","9.9535715","1925-09-06","Tutzing, Germany","47.9125117","11.2772666",
"200",,"John A.","McDonald",,,,,,,,,,,
"202",,"Dmitri","Mendeleev",,"1834-1907","1834-02-08","Tobolsk, Russia","58.2","68.25","1907-02-02","Saint Petersburg, Russia","60.0762383","30.1213829",
"203",,"Gerardus","Mercator",,"1512-1594","1512-03-05","Rupelmonde, Flanders, Belgium","51.1274074","4.2903448","1594-12-02","Duisburg, Duchy of Cleves, Germany","51.4344079","6.7623293",
"204",,"Ted","Mihalisin",,"1940-","1940",,,,,,,,
"205",,"Charles Joseph","Minard",,"1781-1870","1781-03-27","Dijon, France","47.322047","5.04148","1870-10-24","Bordeaux, France","44.837789","-0.57918",
"208",,,"Ministere de Travaux Publics",,"1830-1870","1830",,,,"1870",,,,
"209",,"Gaspard","Monge","Comte de P&eacute;luse","1746-1818","1746-05-09 ","Golden Hillside, France","47.5126795","4.635412","1818-07-28","Paris, France","48.856614","2.3522219","*C&ocirc;te-d&#039;Or is the proper name for Golden Hillside"
"210",,"Mark","Monmonier",,"1943-","1943-02-02","Baltimore, Maryland, USA","39.2903848","-76.6121893",,,,,
"213",,"Leon","Montigny",,"1847-1899","1847","Belgium","50.503887","4.469936","1899",,,,
"214",,"Henry Gwyn Jeffreys","Moseley",,"1887-1915","1887-11-23","Weymouth, England","50.6144279","-2.457621","1915-08-10","Gallipoli, Turkey","40.417447","26.677435",
"215",,"Michael George","Mulhall",,"1836-1900","1829-09-29","Dublin, Ireland","53.3494426","-6.2600825","1900-12-13","Dublin, Ireland","53.3494426","-6.2600825",
"216",,"Eadweard","Muybridge",,"1830-1904","1830-04-09","Kingston upon Thames, England","51.41233","-0.300689","1904-05-08","Kingston upon Thames, England","51.41233","-0.300689",
"217",,"John","Napier",,"1550-1617","1550-00-00","Merchiston Castle, Edinburgh, Scotland","55.9121636","-3.2537247","1617-04-04","Edinburgh, Scotland","55.953252","-3.188267",
"218",,"Otto","Neurath",,"1882-1945","1882-12-10","Vienna, Austria","48.2081743","16.3738189","1945-12-22","Oxford, England","51.751724","-1.255285",
"219",,"Carol","Newton",,"1925-","1925","California, USA","36.778261","-119.4179324",,,,,
"220",,"Isaac","Newton",,"1643-1727","1643-01-04","Lincolnshire, England","53.2178821","-0.1999702","1727-03-31","Kensington, London, England","51.505359","-0.196913",
"221",,"Joseph Nicephore","Niepce",,"1765-1833","1765-03-07","Chalon-sur-Saone, France","46.780764","4.853947","1833-07-05","Saint-Loup-de-Varennes, France","46.726182","4.862518",
"222",,"Florence","Nightingale",,"1820-1910","1820-05-12","Florence, Italy","43.7710332","11.2480006","1910-08-13","East Wellow, England","50.979607","-1.563164",
"223",,"Maurice d&#039;","Ocagne",,"1862-1938","1862-03-25","Paris, France","48.856614","2.3522219","1938-09-23","Havre, France","49.49437","0.107929",
"224",,,"Office of Management and Budget",,"1970-","1970",,,,,,,,
"226",,"Nicole","Oresme",,"1320-1382","1320","Allemagne, France","43.7842621","6.016788","1382-07-11","Lisieux, France","49.145922","0.227849",
"227",,"Abraham","Ortelius",,"1527-1598","1527-04-02","Antwerp, France","51.19578","4.40201","1598-06-28","Antwerp, France","51.19578","4.40201",
"228",,"William","Oughtred",,"1574-1660","1574-03-05","Eton, England","51.487402","-0.607942","1660-06-30","Albury, Surrey, England","51.219731","-0.501146",
"229",,"A. R.","Palmer",,,,,,,,,,,
"230",,"Alexandre Jean Baptiste","Parent-Duchatelet",,"1790-1836","1790-09-29","Paris, France","48.856614","2.3522219","1836-03-07","Paris, France","48.856614","2.3522219",
"231",,"Blaise","Pascal",,"1623-1662","1623-06-19","Clermont-Ferrand, Auvergne, France","45.777222","3.087025","1662-08-19","Paris, France","48.856614","2.3522219",
"232",,"John Bailey","Peddle",,"1868-1933","1868-02-27","Terre Haute, Indiana, USA","39.4667034","-87.4139092","1933",,"45.7771681","3.0824177",
"233",,"Luigi","Perozzo",,"1856-1916","1856","Italy","41.87194","12.56738","1916",,,,
"234",,"William","Petty",,"1623-1687","1623-05-26","Romsey, England","50.98893","-1.49658","1687-12-16","London, England","51.5073346","-0.1276831",
"236",,"Alban William Housego","Phillips",,"1914-1975","1914-11-18","Te Rehunga, New Zealand","-40.218736","176.012292","1975-03-04","Auckland, New Zealand","-36.8484597","174.7633315",
"237",,"R.","Pickett",,,,,,,,,,,
"238",,"William","Playfair",,"1759-1823","1759-09-22","Dundee, Scotland","56.462018","-2.970721","1823-02-11","London, England","51.5073346","-0.1276831","
"
"240",,"Louis &Eacute;z&eacute;chiel","Pouchet",,"1748-1809","1748","Gruchet, France","49.557459","0.484084","1809","Rouen, France","49.443232","1.099971",
"241",,"Joseph","Priestley",,"1733-1804","1733-03-13","Leeds, England","53.801279","-1.548567","1804-02-06","Pennsylvania, USA","41.2033216","-77.1945247",
"242",,"James Cowles","Pritchard",,"1786-1848","1786-02-11","Herefordshire, England","52.0765164","-2.6544182","1848-12-23","London, England","51.5073346","-0.1276831",
"243",,"Claudius","Ptolemy",,"c.85-c.165",,"Egypt","26.820553","30.802498",,"Alexandria, Egypt","31.2000924","29.9187387","Dates are approximate"
"244",,"Adolphe","Quetelet",,"1796-1874","1796-02-22","Ghent, Flanders, Belgium","51.053468","3.73038","1874-02-17","Brussels, Belgium","50.8503396","4.3517103",
"246",,"Ramana","Rao",,"1963-","1963","India","20.593684","78.96288",,,,,
"247",,"Mark","Reiser",,,,,,,,,,,
"248",,"Georg Joachim","Rheticus",,"1514-1574","1514-02-16","Feldkirch, Austria","47.24128","9.6019","1574-12-04","Kassa, Hungary","48.7222588","21.2569865","Kassa, Hungary is now Kosice"
"249",,"Hans","Riedwyl",,"1935-2001","1935",,,,"2001",,,,
"250",,"M. H.","Rizvi",,,,,,,,,,,
"251",,"Emil Eugen","Roesle",,"1875-1962","1875","Germany","51.165691","10.451526","1962",,,,
"252",,"George","Rorick",,,,,,,,,,,
"253",,"Henry Norris","Russell",,"1877-1957","1877-10-25","Osyter Bay, NY, USA","40.8656543","-73.5320685","1957-02-18","Princeton, NJ, USA","40.3572976","-74.6672226",
"254",,"Johann Peter","S&uuml;ssmilch",,"1707-1767","1707-09-03","Zehlendorf, Brandebourg, Germany","52.8","13.4","1767-03-22","Berlin, Germany","52.519171","13.4060912",
"255",,"Michel","Sch&uuml;pbach",,,,,,,,,,,
"256",,"Christopher","Scheiner",,"1575-1650","1575-07-25","Wald, Swabia, Germany","47.7223025","10.5564895","1650-07-18","Niesse, Poland","50.4809563","17.335461",
"258",,"Wilhelm","Schickard",,"1592-1635","1592-04-22","Herrenberg, Germany","48.5950369","8.8671577","1635-10-24","T&uuml;bingen, Germany","48.5216364","9.0576448",
"259",,"Johann Heinrich","Schulze",,"1687-1687","1687-05-12","Germany","51.165691","10.451526","1687-10-10","Germany","51.165691","10.451526",
"260",,"Hermann","Schwabe",,"1830-1875","1830","Germany","51.165691","10.451526","1875",,,,
"261",,"George Julius Poulett","Scrope",,"1797-1876","1797-03-10","Waverley Abbey, Surrey, England","51.2120223","-0.7960002","1876-01-19","Cobham, Surrey, England","51.328783","-0.410856",
"262",,"Valentine","Seaman",,"1770-1817","1770-04-02","Queens Country, NY, USA","40.9447944","-72.9495361","1817-07-03","Beekman Street, NY, USA","40.7095975","-74.0048039",
"263",,"Aloys","Senefelder",,"1771-1834","1771-11-06","Prague, Czech Republic","50.0755381","14.4378005","1834-02-26","Munich, Germany","48.1366069","11.5770851",
